stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
6THGRG:2,1523,Sixth & Gregory (SE Corner),,40.104025,-88.230225,,https://mtd.org/maps-and-schedules/bus-stops/info/6thgrg-2/,0,,,1,
6THPDY:2,0153,Sixth & Peabody (SE Corner),,40.101385,-88.230142,,https://mtd.org/maps-and-schedules/bus-stops/info/6thpdy-2/,0,,,1,
6THPDY:3,0153,Sixth & Peabody (SW Corner),,40.10145667,-88.2304,,https://mtd.org/maps-and-schedules/bus-stops/info/6thpdy-3/,0,,,1,
6THPDY:4,0153,Sixth & Peabody (NW Corner),,40.10165167000001,-88.23029667,,https://mtd.org/maps-and-schedules/bus-stops/info/6thpdy-4/,0,,,1,
ADRSNBKWD:2,7460,Anderson & Burkwood (SE Corner),,40.09632,-88.19914,,https://mtd.org/maps-and-schedules/bus-stops/info/adrsnbkwd-2/,0,,,1,
ADRSNBKWD:4,7460,Anderson & Burkwood (NW Corner),,40.09667000000001,-88.19946667,,https://mtd.org/maps-and-schedules/bus-stops/info/adrsnbkwd-4/,0,,,1,
ADRSNCO:1,5667,Anderson & Colorado (NE Corner),,40.09475,-88.198475,,https://mtd.org/maps-and-schedules/bus-stops/info/adrsnco-1/,0,,,1,
ADRSNCO:2,5667,Anderson & Colorado (SE Corner),,40.094605,-88.19861333,,https://mtd.org/maps-and-schedules/bus-stops/info/adrsnco-2/,0,,,1,
ADRSNCO:4,5667,Anderson & Colorado (NW Corner),,40.09483500000001,-88.19870333,,https://mtd.org/maps-and-schedules/bus-stops/info/adrsnco-4/,0,,,1,
ADRSNFRLN:3,2224,Anderson & Fairlawn (SW Corner),,40.10328333,-88.20032333,,https://mtd.org/maps-and-schedules/bus-stops/info/adrsnfrln-3/,0,,,1,
ADRSNFRLN:8,2224,Anderson & Fairlawn (NW Far Side),,40.10333,-88.20049833,,https://mtd.org/maps-and-schedules/bus-stops/info/adrsnfrln-8/,0,,,1,
ADRSNHRDG:2,3324,Anderson & Harding (SE Corner),,40.09376167,-88.19867167,,https://mtd.org/maps-and-schedules/bus-stops/info/adrsnhrdg-2/,0,,,1,
ADRSNHRDG:4,3324,Anderson & Harding (NW Corner),,40.09372,-88.19879833,,https://mtd.org/maps-and-schedules/bus-stops/info/adrsnhrdg-4/,0,,,1,
ADRSNMFRD:2,5145,Anderson & Mumford (SE Corner),,40.09058000000001,-88.199515,,https://mtd.org/maps-and-schedules/bus-stops/info/adrsnmfrd-2/,0,,,1,
ADRSNMFRD:4,5145,Anderson & Mumford (NW Corner),,40.09079667000001,-88.19959667,,https://mtd.org/maps-and-schedules/bus-stops/info/adrsnmfrd-4/,0,,,1,
ADRSNMI:2,2475,Anderson & Michigan (SE Corner),,40.10149667000001,-88.20013,,https://mtd.org/maps-and-schedules/bus-stops/info/adrsnmi-2/,0,,,1,
ADRSNMI:4,2475,Anderson & Michigan (NW Corner),,40.10191667,-88.2002,,https://mtd.org/maps-and-schedules/bus-stops/info/adrsnmi-4/,0,,,1,
ADRSNSLVR:2,1132,Anderson & Silver (SE Corner),,40.09138333,-88.19951,,https://mtd.org/maps-and-schedules/bus-stops/info/adrsnslvr-2/,0,,,1,
ADRSNSLVR:4,1132,Anderson & Silver (NW Corner),,40.09148667,-88.19962667,,https://mtd.org/maps-and-schedules/bus-stops/info/adrsnslvr-4/,0,,,1,
ALDI150:1,6445,Aldi (South Side),,40.11328506469728,-88.165451049804659,,https://mtd.org/maps-and-schedules/bus-stops/info/aldi150-1/,0,,,1,
ALDI150:2,6445,Aldi (North Side),,40.1134147644043,-88.165100097656236,,https://mtd.org/maps-and-schedules/bus-stops/info/aldi150-2/,0,,,1,
ALPBRAD:1,0795,Alpine & Bradley (NE Corner),,40.1277,-88.298342,,https://mtd.org/maps-and-schedules/bus-stops/info/alpbrad-1/,0,,,1,
ALPBRAD:4,0795,Alpine & Bradley (NW Corner),,40.12779236,-88.298507690429659,,https://mtd.org/maps-and-schedules/bus-stops/info/alpbrad-4/,0,,,1,
ALPTMBLN:2,3624,Alpine & Timberline (SE Corner),,40.128185,-88.298452999999981,,https://mtd.org/maps-and-schedules/bus-stops/info/alptmbln-2/,0,,,1,
ALPTMBLN:4,3624,Alpine & Timberline (NW Corner),,40.12835833,-88.298525,,https://mtd.org/maps-and-schedules/bus-stops/info/alptmbln-4/,0,,,1,
AMBMYRA:2,4624,Amber & Myra Ridge (SE Corner),,40.087319,-88.18532,,https://mtd.org/maps-and-schedules/bus-stops/info/ambmyra-2/,0,,,1,
